happy,gdp,life_expectancy,infant_mortality,pressfreedom,corruption,inequality,crime
7.493999958,62881.46051,83.19756098,3.6,12.13,86,32.5,0.7
7.504000187,51398.92651,82.86097561,1.6,13.03,78,25.6,0.9
7.521999836,49695.96751,81.1,3.7,10.36,90,28.5,1
7.537000179,59301.67024,82.1,2.1,7.6,85,26.8,0.6
7.315999985,44025.18343,82.12902439,4.3,16.53,82,34,1.7
7.468999863,43052.7268,81.38536585,1.9,8.92,89,26.8,1.6
7.376999855,50898.08869,81.70731707,3.2,9.63,83,28.6,0.6
7.28399992,49174.86379,82.55121951,2.4,7.59,88,27.2,1.1
7.31400013,39058.6924,81.45682927,4.5,13.98,90,34.93251534,0.9
7.28399992,46789.92724,82.45121951,3.1,16.02,79,34.7,1
7.212999821,37901.34697,82.05121951,2.9,31.01,64,41.4,1.4
7.078999996,16614.08851,79.60890244,7.7,11.93,58,48.2,11.8
7.006000042,50077.83261,81.84390244,2.9,13.47,75,3.5,0.5
6.578000069,17861.5687,76.88136585,12.6,44.18,30,48.2,16.3
6.993000031,57466.78711,78.74146341,5.6,23.27,74,41,4.9
6.635000229,15127.8101,75.19912195,13.5,27.25,40,51.3,26.7
6.862999916,105881.7605,82.22926829,2,14.72,81,31.2,0.7
6.977000237,68882.87834,81.50243902,3,14.08,73,31.9,0.6
6.890999794,46383.23696,81.28780488,3.1,12.47,77,28.1,1.9
6.647999763,72418.61086,77.4842439,6.6,37.37,66,34.93251534,0.7
6.714000225,42608.91939,81.60487805,3.7,22.26,81,34.1,0.9
5.25,14883.75,74.3915122,14,42.34,17,46.9,57.1
6.572000027,87855.58491,82.59512195,2.2,51.1,84,45.8,0.2
6.452000141,23014.69004,77.81743902,14.1,32.12,38,51,11.4
6.951000214,48729.59042,81.0902439,3.2,11.35,81,31.4,0.8
6.65199995,23960.27015,79.16068293,7.2,19.94,66,47.7,3.6
6.375,127522.6711,78.46270732,7.3,39.83,61,34.93251534,8.1
6.441999912,41466.26571,82.67073171,3.2,22.04,69,32.3,1.6
6.598999977,19934.37249,76.29302439,9.9,22.05,36,42.7,6.5
6.609000206,34711.28294,79.47317073,2.5,16.91,55,25.9,0.7
6.453999996,21625.26889,77.13163415,7.9,17.43,71,41.7,8.4
6.356999874,14157.63404,74.15619512,13.1,41.47,37,51.1,26.5
6.423999786,16916.48048,75.068,10.5,43.49,35,37.8,3.5
6.343999863,54430.86113,74.5744878,11.1,64.97,46,34.93251534,1.5
6.402999878,36309.8443,83.3804878,2.7,17.36,58,36,0.7
6.52699995,37899.21063,81.94634146,5.9,24.76,55,34.93251534,1
6.105000019,73028.70739,74.74682927,7.2,31.78,41,34.93251534,1.8
6.168000221,31907.77772,70.58885366,16.5,20.62,35,4.3,30.9
6.002999783,8619.068674,73.00309756,12.9,22.75,36,4.8,108.6
6.453999996,7946.771619,73.04297561,23.9,36.17,28,48.7,31.2
5.971000195,6514.326071,71.14568293,21.4,65.04,21,35.3,3
6.09800005,30631.95391,77.21219512,4.9,15.51,51,26.1,0.9
5.920000076,41469.85471,83.84365854,2,29.44,72,32.1,0.3
5.837999821,35750.76998,82.15585366,2.9,27.61,53,31.6,0.7
6.007999897,11286.17413,76.0815122,17.8,33.64,31,46.5,8.2
6.086999893,47940.85764,76.86519512,6.5,57.94,43,34.93251534,0.5
5.964000225,38160.67359,83.4902439,2.8,25.04,47,34.7,0.8
5.822999954,7236.089471,68.74980488,29.5,33.88,33,45.8,12.4
5.837999821,5333.614925,71.37121951,13.7,30.41,30,27,3.2
5.493000031,9576.561654,73.04297561,17,34.53,30,48,9.3
5.818999767,25263.81024,72,10.1,54.01,29,26.5,4.8
5.757999897,32884.53889,81.07804878,1.8,21.7,61,25.7,1.2
5.90199995,29966.12707,75.1195122,4.3,21.37,59,37.7,6
6.071000099,5541.277284,75.038,16.8,31.01,26,46.6,11.5
5.715000153,13022.01745,74.71341463,11.9,27.19,35,44.3,7.2
5.568999767,18060.41295,73.62439024,2.9,52.43,40,26.7,3.6
5.97300005,27810.51663,78.20487805,4,26.47,62,32.1,0.7
6.084000111,27680.76867,75.22019512,7.1,46.89,49,46.3,1.9
5.293000221,23596.24491,77.27560976,4,29.59,49,32.2,0.9
5.962999821,23162.63216,70.90853659,6.6,47.9,29,37.7,11.3
5.31099987,8834.819084,75.80668293,13.2,12.73,39,45.5,43.2
5.620999813,32580.35064,80.29104878,2.1,19.79,55,35.6,1.3
5.872000217,15074.92481,75.85529268,21.6,42.37,34,27.6,1.4
5.822000027,16880.40662,67.64104878,43.4,84.19,22,4.8,4.2
5.629000187,21087.74915,74.35317073,12.2,26.67,54,35.8,2.7
5.472000122,58552.71222,84.27804878,23.65161269,29.46,77,34.93251534,0.3
5.611000061,29364.72111,77.13170732,2.3,13.55,70,34.6,3.2
5.262000084,11612.06637,69.03863415,22.2,39.29,37,39.5,0.5
5.073999882,6424.133768,75.89119512,17.3,73.96,33,34.8,1.5
5.5,24243.92399,75.40709756,10.9,49.46,41,41.2,4.3
5.004000187,3551.152704,70.65121951,18.8,30.92,28,29,5.1
5.073999882,5867.141985,52.97792683,66.9,39.69,28,43,9.8
5.011000156,8743.985571,69.80712195,26.8,30.73,65,38.8,2.7
5.234000206,17253.25603,71.84519512,27.2,55.23,30,31.8,2.5
5.269000053,5249.288036,66.33217073,64.2,41.39,32,3.7,7.8
5.335999966,9050.071964,74.19102439,15.1,42.8,48,33.7,2
5.272999763,15534.70194,76.11709756,8.5,74.77,40,42.2,0.7
4.513999939,3922.335309,61.33958537,43.8,36.48,38,57.1,5.8
5.195000172,30624.17469,81.52195122,2.9,15.77,62,35.6,1
5.849999905,26031.00442,74.12439024,3.9,18.62,57,35.1,4.1
5.429999828,7806.211272,69.00985366,21.5,41.08,35,4.1,9.8
5.235000134,7837.904438,75.52014634,23.3,42.42,37,4.7,1
5.175000191,15121.25165,75.52431707,10.7,35.74,37,35.6,1.6
4.644000053,11928.53656,78.20314634,12,29.92,39,29,2.3
5.18200016,12074.75236,76.64029268,5.2,27.71,39,33.8,1.5
5.230000019,15208.91378,73.70368293,25.5,26.76,31,44.9,17.4
4.954999924,12220.39348,69.11587805,15.4,28.95,38,32,7.2
5.227000237,26783.02457,81.58780488,3.1,30.89,44,35.8,0.8
5.224999905,13995.65225,79.4982439,6.9,32.9,28,31.8,3.9
5.323999882,26680.5941,75.96097561,4.4,29.01,48,3.9,1.5
5.181000233,4738.079453,73.32460976,16,42.54,30,5.1,63.8
5.040999889,2980.090352,71.00712195,37.1,50.27,25,34,1.4
4.804999828,11598.54859,75.49704878,11.7,32.22,41,35.8,3.1
4.607999802,3580.694128,72.22160976,28.2,47.19,26,32.1,2.5
4.096000195,8271.779979,71.1895122,7.8,28.88,29,25.5,4.4
4.497000217,17353.47924,69.63460976,25.9,51.22,17,29.5,66.1
4.828999996,13225.43723,61.93409756,34.2,20.12,45,63.4,34.3
4.119999886,4293.57285,62.4072439,41.2,17.95,43,42.2,1.7
3.875,2006.374724,60.27934146,40,41.41,22,43.2,6.7
3.532999992,812.8867372,61.98021951,51.2,31.12,37,33.2,3.2
4.315000057,6572.336719,68.33260976,34.6,39.42,40,35.2,3.2
4.138999939,4730.292058,64.22941463,44.8,73.56,14,35.4,6.5
3.602999926,1784.182184,63.01078049,50.9,26.36,20,4.9,10
4.28000021,800.7515654,59.17321951,72,52.67,21,42.1,13.4
4.961999893,2467.841139,69.86985366,28.4,33.02,29,32.8,2.3
4.460000038,1734.918233,65.00829268,41,47.23,34,33.2,7.6
4.709000111,1473.403805,51.41285366,83.3,30.73,30,34,1.9
4.291999817,3853.534663,63.04636585,54.4,26.26,27,32.4,10.2
4.552999973,3155.94041,66.64565854,35.6,27.51,26,48.5,5.8
4.375999928,8817.953996,74.20619512,11.9,30.38,33,32.4,2.5
3.766000032,16734.85198,65.75109756,32.6,24.93,60,6.5,10.5
4.545000076,5772.895394,66.38563415,40.1,41.82,28,38.1,2.4
4.285999775,9996.935415,72.96612195,9.5,27.76,57,38.5,2.7
3.970000029,1169.313739,62.54336585,38.9,28.97,31,46.1,1.8
4.440000057,12316.16411,74.98895122,8,44.34,36,39.2,2.9
4.695000172,3285.731599,57.5575122,52.8,41.59,26,46.5,5.9
4.714000225,19199.07115,74.46585366,6.5,35.01,41,37.4,1.8
4.735000134,11131.71648,71.29565854,19.4,52.71,34,31.8,3.2
3.592999935,2508.128228,64.72568293,43.2,65.36,14,36.7,6.7
3.795000076,6499.067104,61.18934146,54.6,40.42,18,42.7,9.6
4.190000057,2117.218178,57.45770732,68,38.27,32,33,10.8
4.290999889,5718.788841,64.09073171,38.5,36.73,20,48.9,10.1
4.080999851,1848.786757,59.5087561,37.7,33.88,25,41,11.8
4.534999847,2567.80042,66.66143902,33.6,26.72,45,4.3,7.3
4.465000153,18107.59942,65.68441463,34.3,34.56,35,42.2,9
4.027999878,978.4021911,59.68187805,50.9,27.21,35,34,4.5
4.168000221,3735.478623,68.47204878,26.3,42.07,21,34.93251534,1.8
3.348999977,2786.666719,64.90331707,40.3,30.65,32,37.8,7
3.644000053,1506.009345,65.50782927,34,26.71,26,42.7,0.6
3.936000109,1991.247916,52.55395122,75.2,39.66,20,43.3,9
3.506999969,1310.687204,59.39895122,58.3,30,27,33.7,8.5
4.179999828,3719.624562,53.0782439,66,30.27,34,41.7,11.8
4.032000065,1720.121585,59.84465854,52.7,23.85,42,35.3,0.7
3.79399991,1876.544682,63.29819512,53.2,32.29,15,34.93251534,6.6
3.470999956,1913.402063,66.62087805,29.2,54.11,54,5.4,4.5
3.657000065,2168.210407,60.58468293,63.1,30.32,36,47.8,6
2.904999971,777.9565012,57.06934146,48.4,55.78,20,39.2,4
3.494999886,1490.926523,59.92370732,50.7,30.75,32,43,9.1
